"","t","DELL","SNP","MS","FTSV","NUE","TWTR","NKE"
"2019-06-21",65,53.990002,68.290001,43.580002,10.6,53.939999,35.02,85.75
"2019-06-24",66,53.299999,67.760002,43.07,10.63,53.740002,35.580002,84.5
"2019-06-25",67,52.310001,67.400002,42.66,10.8,54.290001,34.720001,82.620003
"2019-06-26",68,53.23,68.510002,42.990002,10.84,55.119999,35.220001,82.550003
"2019-06-27",69,52.209999,68.169998,43.490002,10.41,54.57,34.75,83.660004
"2019-06-28",70,50.799999,68.199997,43.810001,10.6,55.099998,34.900002,83.949997
"2019-07-01",71,51.560001,68.43,43.950001,10.6,55.669998,36.080002,85.410004
"2019-07-02",72,52.18,67.839996,43.830002,10.24,55.139999,36.220001,84.959999
"2019-07-03",73,52.919998,67.559998,43.990002,10.59,55.290001,36.02,86.199997
"2019-07-05",74,52.369999,67.25,44.209999,10.53,55.310001,36.25,86.82
"2019-07-08",75,51.290001,66.690002,43.490002,10.18,54.549999,36.450001,88.480003
"2019-07-09",76,51.099998,66.330002,43.779999,10.24,54.52,37.650002,88.040001
"2019-07-10",77,52.290001,66.260002,43.310001,10.26,54.169998,37.470001,87.440002
"2019-07-11",78,53.48,66.5,44.18,10.3,54.099998,37.209999,88.290001
"2019-07-12",79,53.779999,66.360001,44.869999,10.28,55.169998,37.84,89.120003
"2019-07-15",80,55.220001,66.459999,44.43,10.12,55.23,38.68,89.480003
"2019-07-16",81,56.009998,65.519997,44.43,10.12,55.560001,37.990002,88.599998
"2019-07-17",82,56.5,64.980003,43.77,8.76,54.700001,37.700001,87.5
"2019-07-18",83,57.389999,65.639999,44.43,8.75,54.689999,37.66,87.440002
"2019-07-19",84,56.799999,66.290001,44.389999,8.5,56.709999,36.77,86.550003
"2019-07-22",85,56.419998,65.959999,44.5,8.81,56.27,37.580002,85.970001
"2019-07-23",86,55.459999,66.139999,45.099998,8.91,56.580002,37.900002,86.699997
"2019-07-24",87,56.220001,65.559998,45.5,9.07,56.580002,38.73,86.699997
"2019-07-25",88,55.07,65.089996,44.869999,9.24,56.200001,38.119999,87.279999
"2019-07-26",89,55.279999,65.339996,45.740002,9.15,56.16,41.52,87.540001
"2019-07-29",90,55.970001,64.970001,45.23,9.04,55.73,41.5,87.620003
"2019-07-30",91,57.23,64.790001,44.669998,9.32,56.25,41,87.199997
"2019-07-31",92,57.740002,64.169998,44.560001,8.9,54.380001,42.310001,86.029999
"2019-08-01",93,57.689999,62.790001,42.93,8.68,53.060001,42.080002,83.120003
"2019-08-02",94,52.41,62.09,42.119999,8.37,52.57,42.849998,81.139999
"2019-08-05",95,50.419998,60.290001,40.490002,8.03,50.75,40.369999,78.970001
"2019-08-06",96,50.77,60.330002,41.220001,8.16,51.34,41.32,81.300003
"2019-08-07",97,50.380001,60.330002,40.560001,8.1,51.25,41.73,81.279999
"2019-08-08",98,51.330002,60.91,41.27,8,52.169998,42.07,83
"2019-08-09",99,50.43,60.119999,41.5,7.91,51.060001,41.529999,81.980003
"2019-08-12",100,49.509998,59.119999,40.360001,8.13,49.360001,40.48,81.650002
"2019-08-13",101,49.52,59.900002,40.689999,8.22,50.169998,41.810001,83.32
"2019-08-14",102,48.599998,58.330002,39.330002,6.66,48.490002,40.650002,81.029999
"2019-08-15",103,46.900002,58.509998,39.099998,6.4,47.709999,40.09,79.510002
"2019-08-16",104,48.43,59.099998,39.939999,6.4,48.759998,40.580002,80.279999
"2019-08-19",105,49.049999,59.91,40.369999,7.52,49.91,41.700001,81.129997
"2019-08-20",106,48.470001,59.66,39.900002,7.59,49.029999,42.290001,80.529999
"2019-08-21",107,48.98,59.810001,39.939999,7.54,49.189999,42.799999,82.739998
"2019-08-22",108,49.040001,58.91,40.27,7.23,48.93,42.18,83.309998
"2019-08-23",109,45.810001,58.02,39.330002,6.74,46.950001,41,80.440002
"2019-08-26",110,46.41,57.779999,40.16,6.91,47.400002,41.439999,82.25
"2019-08-27",111,45.599998,57.529999,39.790001,6.83,46.610001,42.139999,82.029999
"2019-08-28",112,45.299999,57.32,40.380001,7.34,47.299999,41.68,83.480003
"2019-08-29",113,46.77,57.889999,41.290001,7.36,48.810001,42.490002,85.379997
"2019-08-30",114,51.529999,58.169998,41.490002,7.58,48.98,42.650002,84.5
"2019-09-03",115,51.07,58.279999,40.990002,6.96,48.560001,41.959999,84.669998
"2019-09-04",116,51.200001,59.470001,41.529999,7.16,49.299999,43.360001,86.349998
"2019-09-05",117,52.919998,60.439999,42.470001,7.61,50.349998,45.299999,88.419998
"2019-09-06",118,53.360001,58.93,42.18,7.47,50.16,45.419998,88.690002
"2019-09-09",119,54.290001,59.91,43.110001,7.67,51.23,44.259998,88.669998
"2019-09-10",120,55.48,60.779999,43.580002,7.99,52.630001,43.25,86.830002
"2019-09-11",121,55.299999,61.619999,43.939999,8,53.259998,43.25,86.75
"2019-09-12",122,54.150002,61.689999,44.32,7.86,53.689999,43.200001,87.669998
"2019-09-13",123,53.509998,62.860001,45.16,7.97,53.599998,42.630001,87.32
"2019-09-16",124,54.099998,63.98,44.75,7.84,53.16,42.759998,87.269997
"2019-09-17",125,53.849998,61.549999,44.209999,7.63,53.09,43.240002,87.589996
"2019-09-18",126,52.799999,60.639999,44.360001,7.49,52.889999,43.240002,88.080002
"2019-09-19",127,53.040001,60.389999,44.02,7.49,52.720001,42.93,87.699997
"2019-09-20",128,51.849998,60.23,43.669998,7.63,52.619999,43.23,86.68
"2019-09-23",129,52.939999,60.380001,43.560001,7.5,52.860001,43.380001,87.690002
"2019-09-24",130,52.200001,59.080002,42.540001,7.04,50.630001,41.419998,87.18
"2019-09-25",131,53.740002,59.599998,43.040001,6.85,51.68,42.5,90.809998
"2019-09-26",132,52.150002,58.689999,42.619999,6.625,49.34,42.439999,92.169998
"2019-09-27",133,50.950001,58.200001,42.84,6.67,50.009998,41.349998,92.309998
"2019-09-30",134,51.860001,58.700001,42.669998,6.42,50.91,41.200001,93.919998
"2019-10-01",135,51.639999,58.52,41.380001,6.28,50.41,40.25,92.279999
"2019-10-02",136,50.779999,58.669998,40.23,6.24,49.32,39.700001,91.489998
"2019-10-03",137,51.060001,59.389999,40.25,6.06,49.57,40,92.220001
"2019-10-04",138,50.27,58.650002,40.779999,6.04,50.080002,40.360001,93.07
"2019-10-07",139,50.52,58.27,40.68,5.89,49.68,40.799999,93.169998
"2019-10-08",140,48.810001,57.34,39.82,5.75,48.650002,39.700001,91.75
"2019-10-09",141,49.459999,57.860001,40.439999,5.75,48.799999,39.5,92.519997
"2019-10-10",142,49,58.48,41.049999,5.84,50.209999,39.540001,93
"2019-10-11",143,50.299999,59.880001,41.93,5.97,52.68,40.360001,93.879997
"2019-10-14",144,50.68,59.279999,42.25,5.8,51.73,39.779999,94.879997
"2019-10-15",145,51.130001,59.110001,42.529999,5.92,52.810001,40.279999,94.790001
"2019-10-16",146,50.540001,58.630001,42.790001,5.765,51.52,39.91,94.879997
"2019-10-17",147,50.369999,58.720001,43.439999,6.14,51.75,39.610001,95.559998
"2019-10-18",148,49.869999,58.529999,43.66,6.12,51.68,38.990002,96.099998
"2019-10-21",149,49.990002,58.830002,44.98,6.26,51.790001,40.09,96.220001
"2019-10-22",150,49.98,59.209999,45.380001,5.97,53.139999,38.810001,95.599998
"2019-10-23",151,50.299999,59.080002,45.91,5.6,52.970001,38.830002,92.32
"2019-10-24",152,51.009998,59.130001,45.759998,5.77,52.709999,30.75,91.5
"2019-10-25",153,51.68,59.639999,46.369999,5.86,53.82,30.299999,90.919998
"2019-10-28",154,51.59,60.150002,46.84,6.14,54.73,30.059999,90.849998
"2019-10-29",155,53.25,59.09,46.830002,6.14,54.630001,29.85,89.279999
"2019-10-30",156,53.75,57.490002,46.259998,6.29,54.360001,29.860001,90.190002
"2019-10-31",157,52.889999,56.490002,46.049999,6.91,53.849998,29.969999,89.550003
"2019-11-01",158,53.240002,57.630001,47.330002,7.55,55.349998,29.620001,89.18
"2019-11-04",159,53.84,58.560001,48.830002,6.9,55.91,30.049999,89.860001
"2019-11-05",160,54.43,59.369999,48.75,6.81,55.470001,29.809999,89.879997
"2019-11-06",161,54.330002,59.02,48.560001,8.01,55.139999,29.540001,89.480003
"2019-11-07",162,54.310001,59.880001,48.66,8.25,55.52,29.049999,90.400002
"2019-11-08",163,54.310001,59.779999,49.150002,8.75,55.560001,29.209999,89.809998
"2019-11-11",164,54.52,58.73,49.09,8.55,55.459999,29.34,90.050003
"2019-11-12",165,55.43,57.799999,49.009998,9.65,55.299999,29.049999,89.5
"2019-11-13",166,54.779999,57.049999,48.389999,10.19,54.669998,29.08,91.290001
"2019-11-14",167,55.049999,56.599998,48.610001,10.41,54.490002,28.889999,91.269997
