"","DELL.Open","DELL.High","DELL.Low","DELL.Close","DELL.Volume","DELL.Adjusted"
"183",37.430786,37.790699,37.126247,37.231449,2254400,37.231449
"184",37.181618,37.33112,36.860466,37.087486,2018700,37.087486
"185",36.81617,36.888149,36.489479,36.60022,2530200,36.60022
"186",36.60022,36.75526,35.963455,35.963455,10793500,35.963455
"187",36.007751,36.854927,35.91362,36.688816,2538800,36.688816
"188",36.77187,37.076412,36.75526,36.843853,2123800,36.843853
"189",36.406422,36.622372,35.91362,35.930233,2074900,35.930233
"190",35.730896,35.908085,35.415283,35.802879,2537600,35.802879
"191",35.885937,36.351051,35.874863,35.946842,1275000,35.946842
"192",36.223698,37.375416,36.140644,37.308971,4271700,37.308971
"193",37.574749,37.641197,37.09856,37.308971,2558500,37.308971
"194",37.425251,37.718716,37.303432,37.691029,2138800,37.691029
"195",37.807308,38.250278,37.751938,38.017719,3043600,38.017719
"196",37.945736,38.250278,37.823921,38.095238,1580900,38.095238
"197",38.095238,38.394241,37.962349,38.067554,4089800,38.067554
"198",38.233665,38.421928,37.530453,38.421928,16978000,38.421928
"199",38.482834,38.604652,38.050941,38.361019,4430800,38.361019
"200",37.879292,38.22813,36.910297,37.790699,4046100,37.790699
"201",37.72979,37.763012,36.777409,36.882614,4618400,36.882614
"202",36.937984,37.27021,36.688816,37.170544,2661100,37.170544
"203",37.170544,37.580288,37.09856,37.55814,2886300,37.55814
"204",36.915836,37.364342,35.271317,36.046513,6518000,36.046513
"205",35.991142,36.101883,34.252491,34.640087,6723000,34.640087
"206",34.501659,34.678848,34.091915,34.462902,4629500,34.462902
"207",34.534885,34.983387,34.291252,34.784054,3096500,34.784054
"208",35.022148,35.05537,34.152824,34.424141,2060600,34.424141
"209",34.197121,34.285713,33.648949,34.246956,3584100,34.246956
"210",34.246956,34.507198,34.246956,34.396458,3248600,34.396458
"211",34.606865,34.977852,34.496124,34.700996,1418900,34.700996
"212",34.734219,34.811737,34.396458,34.457363,1603300,34.457363
"213",34.734219,35.188263,34.706535,35.060909,1938000,35.060909
"214",35.188263,35.498341,35.060909,35.193798,1537800,35.193798
"215",35.11628,35.62569,35.066444,35.22702,11672300,35.22702
"216",35.321152,35.631229,35.049835,35.132889,1798700,35.132889
"217",35.077518,35.105206,34.296787,34.318935,2991800,34.318935
"218",34.496124,34.82835,34.291252,34.717609,2936000,34.717609
"219",34.490585,34.579182,33.372093,33.665558,3267900,33.665558
"220",33.676632,34.008858,33.660023,33.837208,1419600,33.837208
